
90.0;82.0;[70];[22.161855773829235];[63.25288808742425]

90.0;81.125;[70];[-70.75591708273836];[119.77036424087184]

90.0;81.125;[70];[-70.75591708273836];[119.77036424087184]

90.0;81.125;[70];[-70.75591708273836];[119.77036424087184]

90.0;81.125;[70];[-70.75591708273836];[119.77036424087184]

90.0;81.125;[70];[-70.75591708273836];[119.77036424087184]

90.0;81.125;[70];[-70.75591708273836];[119.77036424087184]

90.0;81.125;[70];[-70.75591708273836];[119.77036424087184]

90.0;81.125;[70];[-70.75591708273836];[119.77036424087184]

90.0;80.625;[70];[-1224.774497503736];[1257.6975189054917]

90.0;80.625;[70];[-1224.774497503736];[1257.6975189054917]

90.0;80.625;[70];[-1224.774497503736];[1257.6975189054917]

90.0;80.625;[70];[-1224.774497503736];[1257.6975189054917]

90.0;80.625;[70];[-1224.774497503736];[1257.6975189054917]

90.0;80.625;[70];[-1224.774497503736];[1257.6975189054917]

90.0;80.625;[70];[-1224.774497503736];[1257.6975189054917]

90.0;80.125;[70];[160.84170745964977];[-143.80683325391252]

90.0;80.125;[70];[160.84170745964977];[-143.80683325391252]

90.0;80.125;[70];[160.84170745964977];[-143.80683325391252]

90.0;80.125;[70];[160.84170745964977];[-143.80683325391252]

90.0;80.125;[70];[160.84170745964977];[-143.80683325391252]

90.0;80.125;[70];[160.84170745964977];[-143.80683325391252]

90.0;80.125;[70];[160.84170745964977];[-143.80683325391252]

90.0;80.125;[70];[160.84170745964977];[-143.80683325391252]

90.0;80.125;[70];[160.84170745964977];[-143.80683325391252]

90.0;80.125;[70];[160.84170745964977];[-143.80683325391252]

90.0;79.625;[70];[76.09568985230808];[-76.92235100894418]

90.0;79.625;[70];[76.09568985230808];[-76.92235100894418]

90.0;79.625;[70];[76.09568985230808];[-76.92235100894418]

90.0;79.625;[70];[76.09568985230808];[-76.92235100894418]

90.0;79.625;[70];[76.09568985230808];[-76.92235100894418]

90.0;79.125;[70];[38.94744372882323];[-63.03743570237676]

90.0;79.125;[70];[38.94744372882323];[-63.03743570237676]

90.0;79.125;[70];[38.94744372882323];[-63.03743570237676]

90.0;79.125;[70];[38.94744372882323];[-63.03743570237676]

90.0;79.125;[70];[38.94744372882323];[-63.03743570237676]

90.0;79.125;[70];[38.94744372882323];[-63.03743570237676]

90.0;79.125;[70];[38.94744372882323];[-63.03743570237676]

90.0;79.125;[70];[38.94744372882323];[-63.03743570237676]

90.0;79.125;[70];[38.94744372882323];[-63.03743570237676]

90.0;78.625;[70];[6.411660864887977];[-67.37138818050985]

90.0;78.625;[70];[6.411660864887977];[-67.37138818050985]

90.0;78.625;[70];[6.411660864887977];[-67.37138818050985]

90.0;78.625;[70];[6.411660864887977];[-67.37138818050985]

90.0;78.625;[70];[6.411660864887977];[-67.37138818050985]

90.0;78.625;[70];[6.411660864887977];[-67.37138818050985]

90.0;78.625;[70];[6.411660864887977];[-67.37138818050985]

90.0;78.625;[70];[6.411660864887977];[-67.37138818050985]

90.0;78.625;[70];[6.411660864887977];[-67.37138818050985]

