
100.0;63.33333333333333;[70];[-41.11527577549286];[43.30834362375541]

100.0;49.666666666666664;[70];[44.675671485638254];[40.1341874460658]

100.0;49.0;[70];[165.23877531208797];[87.728446316781]

100.0;49.333333333333336;[70];[82.51864457052426];[52.04191682564629]

100.0;51.0;[70];[-70.69567034642304];[53.41136991478305]

100.0;77.33333333333333;[70];[143.03459630063725];[-77.51523448595486]

100.66666666666667;61.0;[70];[137.01063765657187];[-19.18562416235456]

104.0;61.0;[70];[-103.99739888146726];[-34.6209275817577]

104.0;89.66666666666667;[70];[-77.85757565980911];[25.258069397249596]

104.0;63.0;[70];[27.881528045785277];[-53.582423769873614]

99.33333333333333;62.33333333333333;[70];[67.80575306965628];[132.05566737831884]

98.0;71.33333333333333;[70];[-58.993985139568665];[42.410091919077985]

98.0;67.66666666666667;[70];[-70.83461990201124];[-40.92156597885486]

98.0;67.66666666666667;[70];[-70.83461990201124];[-40.92156597885486]

100.0;63.66666666666667;[70];[-88.62697762314747];[60.54963410247678]

102.0;64.33333333333333;[70];[78.34471263361961];[78.12703309002922]

104.0;63.0;[70];[27.881528045785277];[-53.582423769873614]

104.0;62.0;[70];[-52.233257170950694];[-22.727035178922957]

106.0;59.0;[70];[68.54143311209792];[-78.27299214661875]

116.0;59.0;[70];[-46.480897060820865];[-17.275918415267583]

116.0;59.0;[70];[-46.480897060820865];[-17.275918415267583]

110.0;58.66666666666667;[70];[-63.35862110560877];[3.282446942508578]

108.66666666666667;58.0;[70];[100.15265029751241];[96.8951033658742]

110.0;57.666666666666664;[70];[-272.5711225794385];[13.410717371146541]

108.0;57.333333333333336;[70];[57.30911800311711];[75.17125727557134]

108.0;57.666666666666664;[70];[64.17672150882589];[66.14590811568442]

108.0;57.666666666666664;[70];[64.17672150882589];[66.14590811568442]

108.0;53.333333333333336;[70];[-28.356561224250292];[-356.7207175265083]

108.0;53.0;[70];[184.9164431006825];[432.8696505969297]

108.0;53.0;[70];[184.9164431006825];[432.8696505969297]

108.0;54.0;[70];[52.085083452163346];[-86.38934370475361]

108.0;54.666666666666664;[70];[66.73693111144664];[-64.9740272110728]

108.0;56.0;[70];[126.80843891964042];[-225.34403608389303]

108.0;55.0;[70];[72.7928486668767];[-67.48228066666596]

108.0;56.333333333333336;[70];[-362.2923457364746];[1571.4547305113556]

108.0;55.0;[70];[72.7928486668767];[-67.48228066666596]

108.0;54.0;[70];[52.085083452163346];[-86.38934370475361]

108.0;54.0;[70];[52.085083452163346];[-86.38934370475361]

108.0;54.0;[70];[52.085083452163346];[-86.38934370475361]

106.0;54.0;[70];[-42.84510313015798];[-55.75358978546832]

106.0;53.666666666666664;[70];[-18.036251772796618];[-51.09329964795955]

106.0;54.0;[70];[-42.84510313015798];[-55.75358978546832]

106.0;54.333333333333336;[70];[-76.73970122031021];[-69.8052010438376]

106.0;55.0;[70];[-466.93464798605885];[-339.61117317385896]

106.0;55.0;[70];[-466.93464798605885];[-339.61117317385896]

106.66666666666667;55.0;[70];[141.78094850810072];[20.839737970468022]

106.66666666666667;55.0;[70];[141.78094850810072];[20.839737970468022]

106.0;55.0;[70];[-466.93464798605885];[-339.61117317385896]

106.0;55.0;[70];[-466.93464798605885];[-339.61117317385896]

106.0;54.0;[70];[-42.84510313015798];[-55.75358978546832]

106.0;54.0;[70];[-42.84510313015798];[-55.75358978546832]

106.0;54.0;[70];[-42.84510313015798];[-55.75358978546832]

106.0;54.0;[70];[-42.84510313015798];[-55.75358978546832]

106.0;54.0;[70];[-42.84510313015798];[-55.75358978546832]

106.0;54.0;[70];[-42.84510313015798];[-55.75358978546832]

106.0;54.0;[70];[-42.84510313015798];[-55.75358978546832]

106.0;54.0;[70];[-42.84510313015798];[-55.75358978546832]

106.0;54.0;[70];[-42.84510313015798];[-55.75358978546832]

106.0;54.0;[70];[-42.84510313015798];[-55.75358978546832]

106.0;53.333333333333336;[70];[5.317749504234021];[-52.4840666056287]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.66666666666667;53.0;[70];[27.820024732641183];[-10.32553250856053]

108.0;53.0;[70];[184.9164431006825];[432.8696505969297]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

107.33333333333333;53.0;[70];[38.008553624194796];[47.63209497749017]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;52.666666666666664;[70];[77.23598053023774];[-83.25294976105873]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.666666666666664;[70];[-18.036251772796618];[-51.09329964795955]

106.0;54.0;[70];[-42.84510313015798];[-55.75358978546832]

106.0;54.0;[70];[-42.84510313015798];[-55.75358978546832]

106.0;54.0;[70];[-42.84510313015798];[-55.75358978546832]

106.0;54.0;[70];[-42.84510313015798];[-55.75358978546832]

106.0;53.666666666666664;[70];[-18.036251772796618];[-51.09329964795955]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

108.0;53.0;[70];[184.9164431006825];[432.8696505969297]

107.33333333333333;53.333333333333336;[70];[11.087840239429688];[74.67211681938981]

106.0;53.666666666666664;[70];[-18.036251772796618];[-51.09329964795955]

106.0;53.333333333333336;[70];[5.317749504234021];[-52.4840666056287]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

106.0;53.0;[70];[33.125648398452775];[-60.83742541282846]

